testmaterial,resultrowid,analytegroup,analytesubgroup,program,parentproject,project,protocol,sampleagency,stationname,stationcode,waterbodytype,latitude,longitude,datum,sampledate,collectiontime,locationcode,collectiondepth,unitcollectiondepth,sampletype,collectionreplicate,resultreplicate,batch,labsampleid,matrix,method,analyte,fraction,unitname,result,mdl,rl,resultqualcode,qacode,batchverification,compliancecode,collectionmethod,collectiondevice,positionwatercolumn,preppreservation,preppreservationdate,digestextractmethod,digestextractdate,analysisdate,dilution_df,expectedvalue,labagency,submittingagency,labsubmissioncode,batchcomments,metadataurl,datedownloaded,sourcerdc,datausenotes
sediment,1313EADD-CA5A-42FC-BA46-85C986D6606C,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1993 RMP Status and Trends,RMP,AMS-CA,San Joaquin River (BG30),BG30,Bays and Harbors,38.02054094,-121.806267,wgs84,1993/09/20,11:55:00,OpenWater1,5,cm,Integrated,"1","1",1993-09-GERG-SED,,sediment,Not Recorded,Sum of 40 PCBs (SFEI),Total,ug/kg dw,0,,,ND,None,VLC,Com,Sed_Grab,Not Recorded,Bottom,FieldFrozen,1950/01/01,Not Recorded,1950/01/01,1994/07/08,1,,GERG,Not Recorded,A,RMP ,http://cd3.sfei.org/metadata.php,2020/11/27,SFEI,
sediment,8C958A99-18CD-4180-8238-31DA6641BFE6,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1993 RMP Status and Trends,RMP,AMS-CA,Pacheco River (BF10),BF10,Bays and Harbors,38.051,-122.099,wgs84,1993/09/20,09:20:00,OpenWater1,5,cm,Integrated,"1","1",1993-09-GERG-SED,,sediment,Not Recorded,Sum of 40 PCBs (SFEI),Total,ug/kg dw,0,,,ND,None,VLC,Com,Sed_Grab,Not Recorded,Bottom,FieldFrozen,1950/01/01,Not Recorded,1950/01/01,1994/07/08,1,,GERG,Not Recorded,A,RMP ,http://cd3.sfei.org/metadata.php,2020/11/27,SFEI,
sediment,D460C58B-B570-4126-B256-053878C47431,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1993 RMP Status and Trends,RMP,AMS-CA,Dumbarton Bridge (BA30),BA30,Bays and Harbors,37.51375,-122.1346166,wgs84,1993/09/23,11:50:00,OpenWater1,5,cm,Integrated,"1","1",1993-09-GERG-SED,,sediment,Not Recorded,Sum of 40 PCBs (SFEI),Total,ug/kg dw,0,,,ND,None,VLC,Com,Sed_Grab,Not Recorded,Bottom,FieldFrozen,1950/01/01,Not Recorded,1950/01/01,1994/07/08,1,,GERG,Not Recorded,A,RMP ,http://cd3.sfei.org/metadata.php,2020/11/27,SFEI,
sediment,D76F87B2-F57B-4917-9846-DCB0888E93C6,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1993 RMP Status and Trends,RMP,AMS-CA,Grizzly Bay (BF21),BF21,Bays and Harbors,38.11551792,-122.0404754,wgs84,1993/09/20,14:05:00,OpenWater1,5,cm,Integrated,"1","1",1993-09-GERG-SED,,sediment,Not Recorded,Sum of 40 PCBs (SFEI),Total,ug/kg dw,0,,,ND,None,VLC,Com,Sed_Grab,Not Recorded,Bottom,FieldFrozen,1950/01/01,Not Recorded,1950/01/01,1994/07/08,1,,GERG,Not Recorded,A,RMP ,http://cd3.sfei.org/metadata.php,2020/11/27,SFEI,
sediment,25042629-79AA-4FFB-B070-639028C5CCEE,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1993 RMP Status and Trends,RMP,AMS-CA,Pacheco River (BF10),BF10,Bays and Harbors,38.051,-122.099,wgs84,1993/03/10,00:00:00,OpenWater1,5,cm,Integrated,"1","1",1993-03-Risebrough-SED,,sediment,Not Recorded,Sum of 40 PCBs (SFEI),Total,ug/kg dw,0.22853,,,=,None,VLC,Com,Sed_Grab,Not Recorded,Bottom,FieldFrozen,1950/01/01,Not Recorded,1950/01/01,1950/01/01,1,,Risebrough,Not Recorded,A,RMP ,http://cd3.sfei.org/metadata.php,2020/11/27,SFEI,
sediment,424A3CE1-BF86-4669-8825-E0836FDE22A1,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1993 RMP Status and Trends,RMP,AMS-CA,Davis Point (BD41),BD41,Bays and Harbors,38.051,-122.28,wgs84,1993/09/21,12:45:00,OpenWater1,5,cm,Integrated,"1","1",1993-09-GERG-SED,,sediment,Not Recorded,Sum of 40 PCBs (SFEI),Total,ug/kg dw,0.36556,,,=,None,VLC,Com,Sed_Grab,Not Recorded,Bottom,FieldFrozen,1950/01/01,Not Recorded,1950/01/01,1994/07/08,1,,GERG,Not Recorded,A,RMP ,http://cd3.sfei.org/metadata.php,2020/11/27,SFEI,
sediment,E07167A2-4699-415C-B9EC-AF4DD07EEF82,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1993 RMP Status and Trends,RMP,AMS-CA,Sacramento River (BG20),BG20,Bays and Harbors,38.05969966,-121.8112677,wgs84,1993/03/09,00:00:00,OpenWater1,5,cm,Integrated,"1","1",1993-03-Risebrough-SED,,sediment,Not Recorded,Sum of 40 PCBs (SFEI),Total,ug/kg dw,0.99947,,,=,None,VLC,Com,Sed_Grab,Not Recorded,Bottom,FieldFrozen,1950/01/01,Not Recorded,1950/01/01,1950/01/01,1,,Risebrough,Not Recorded,A,RMP ,http://cd3.sfei.org/metadata.php,2020/11/27,SFEI,
sediment,2D36C7B4-3E5F-4BE9-956C-31BE67FB6DE0,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1993 RMP Status and Trends,RMP,AMS-CA,San Pablo Bay (BD22),BD22,Bays and Harbors,38.048,-122.423,wgs84,1993/09/21,17:10:00,OpenWater1,5,cm,Integrated,"1","1",1993-09-GERG-SED,,sediment,Not Recorded,Sum of 40 PCBs (SFEI),Total,ug/kg dw,1.03842,,,=,None,VLC,Com,Sed_Grab,Not Recorded,Bottom,FieldFrozen,1950/01/01,Not Recorded,1950/01/01,1994/07/08,1,,GERG,Not Recorded,A,RMP ,http://cd3.sfei.org/metadata.php,2020/11/27,SFEI,
sediment,AA3BBC0A-28D0-42E5-AF95-067EF967E7E7,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1993 RMP Status and Trends,RMP,AMS-CA,Horseshoe Bay (BC21),BC21,Bays and Harbors,37.831,-122.4775,wgs84,1993/09/22,12:05:00,OpenWater1,5,cm,Integrated,"1","1",1993-09-GERG-SED,,sediment,Not Recorded,Sum of 40 PCBs (SFEI),Total,ug/kg dw,1.80489,,,=,None,VLC,Com,Sed_Grab,Not Recorded,Bottom,FieldFrozen,1950/01/01,Not Recorded,1950/01/01,1994/07/07,1,,GERG,Not Recorded,A,RMP ,http://cd3.sfei.org/metadata.php,2020/11/27,SFEI,
sediment,C5FDC2C6-6519-4C23-8DB8-AB28D6A76DA4,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1993 RMP Status and Trends,RMP,AMS-CA,Davis Point (BD41),BD41,Bays and Harbors,38.051,-122.28,wgs84,1993/03/10,00:00:00,OpenWater1,5,cm,Integrated,"1","1",1993-03-Risebrough-SED,,sediment,Not Recorded,Sum of 40 PCBs (SFEI),Total,ug/kg dw,1.95168,,,=,None,VLC,Com,Sed_Grab,Not Recorded,Bottom,FieldFrozen,1950/01/01,Not Recorded,1950/01/01,1950/01/01,1,,Risebrough,Not Recorded,A,RMP ,http://cd3.sfei.org/metadata.php,2020/11/27,SFEI,
sediment,CAB0E138-ADA7-4703-A929-70BB6D89D870,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1993 RMP Status and Trends,RMP,AMS-CA,Napa River (BD50),BD50,Bays and Harbors,38.097,-122.261,wgs84,1993/09/21,11:15:00,OpenWater1,5,cm,Integrated,"1","1",1993-09-GERG-SED,,sediment,Not Recorded,Sum of 40 PCBs (SFEI),Total,ug/kg dw,2.56405,,,=,None,VLC,Com,Sed_Grab,Not Recorded,Bottom,FieldFrozen,1950/01/01,Not Recorded,1950/01/01,1994/07/09,1,,GERG,Not Recorded,A,RMP ,http://cd3.sfei.org/metadata.php,2020/11/27,SFEI,
sediment,CB4F3D66-E74D-455A-A622-03AD8F36C0A5,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1993 RMP Status and Trends,RMP,AMS-CA,Oyster Point (BB30),BB30,Bays and Harbors,37.669,-122.329,wgs84,1993/09/22,15:25:00,OpenWater1,5,cm,Integrated,"1","1",1993-09-GERG-SED,,sediment,Not Recorded,Sum of 40 PCBs (SFEI),Total,ug/kg dw,3.36495,,,=,None,VLC,Com,Sed_Grab,Not Recorded,Bottom,FieldFrozen,1950/01/01,Not Recorded,1950/01/01,1994/07/07,1,,GERG,Not Recorded,A,RMP ,http://cd3.sfei.org/metadata.php,2020/11/27,SFEI,
sediment,0609757C-C2D9-4B80-BD78-235F26D230AF,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1993 RMP Status and Trends,RMP,AMS-CA,Pinole Point (BD31),BD31,Bays and Harbors,38.02412178,-122.363683,wgs84,1993/09/21,15:25:00,OpenWater1,5,cm,Integrated,"1","1",1993-09-GERG-SED,,sediment,Not Recorded,Sum of 40 PCBs (SFEI),Total,ug/kg dw,3.7663,,,=,None,VLC,Com,Sed_Grab,Not Recorded,Bottom,FieldFrozen,1950/01/01,Not Recorded,1950/01/01,1994/07/08,1,,GERG,Not Recorded,A,RMP ,http://cd3.sfei.org/metadata.php,2020/11/27,SFEI,
sediment,89D665E3-0802-404C-9182-B0B0B323A005,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1993 RMP Status and Trends,RMP,AMS-CA,Redwood Creek (BA41),BA41,Bays and Harbors,37.55903527,-122.210577,wgs84,1993/09/23,10:00:00,OpenWater1,5,cm,Integrated,"1","1",1993-09-GERG-SED,,sediment,Not Recorded,Sum of 40 PCBs (SFEI),Total,ug/kg dw,3.93145,,,=,None,VLC,Com,Sed_Grab,Not Recorded,Bottom,FieldFrozen,1950/01/01,Not Recorded,1950/01/01,1994/07/09,1,,GERG,Not Recorded,A,RMP ,http://cd3.sfei.org/metadata.php,2020/11/27,SFEI,
sediment,8B70C5D5-5A42-44C4-A760-CBF9380A0B5B,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1993 RMP Status and Trends,RMP,AMS-CA,San Joaquin River (BG30),BG30,Bays and Harbors,38.02054094,-121.806267,wgs84,1993/03/09,00:00:00,OpenWater1,5,cm,Integrated,"1","1",1993-03-Risebrough-SED,,sediment,Not Recorded,Sum of 40 PCBs (SFEI),Total,ug/kg dw,4.35048,,,=,None,VLC,Com,Sed_Grab,Not Recorded,Bottom,FieldFrozen,1950/01/01,Not Recorded,1950/01/01,1950/01/01,1,,Risebrough,Not Recorded,A,RMP ,http://cd3.sfei.org/metadata.php,2020/11/27,SFEI,
sediment,49940211-F155-4A0F-85A8-346E2CDA2517,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1993 RMP Status and Trends,RMP,AMS-CA,South Bay (BA21),BA21,Bays and Harbors,37.493,-122.086,wgs84,1993/09/23,13:20:00,OpenWater1,5,cm,Integrated,"1","1",1993-09-GERG-SED,,sediment,Not Recorded,Sum of 40 PCBs (SFEI),Total,ug/kg dw,4.41209,,,=,None,VLC,Com,Sed_Grab,Not Recorded,Bottom,FieldFrozen,1950/01/01,Not Recorded,1950/01/01,1994/07/09,1,,GERG,Not Recorded,A,RMP ,http://cd3.sfei.org/metadata.php,2020/11/27,SFEI,
sediment,D59798E5-0F1B-4DA6-A1AF-4DBA8E1255E7,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1993 RMP Status and Trends,RMP,AMS-CA,San Pablo Bay (BD22),BD22,Bays and Harbors,38.048,-122.423,wgs84,1993/03/10,00:00:00,OpenWater1,5,cm,Integrated,"1","1",1993-03-Risebrough-SED,,sediment,Not Recorded,Sum of 40 PCBs (SFEI),Total,ug/kg dw,5.218589,,,=,None,VLC,Com,Sed_Grab,Not Recorded,Bottom,FieldFrozen,1950/01/01,Not Recorded,1950/01/01,1950/01/01,1,,Risebrough,Not Recorded,A,RMP ,http://cd3.sfei.org/metadata.php,2020/11/27,SFEI,
sediment,65644A23-2FF0-4E95-9BF7-AC0FF162371A,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1993 RMP Status and Trends,RMP,AMS-CA,Sacramento River (BG20),BG20,Bays and Harbors,38.05969966,-121.8112677,wgs84,1993/09/20,13:45:00,OpenWater1,5,cm,Integrated,"1","1",1993-09-GERG-SED,,sediment,Not Recorded,Sum of 40 PCBs (SFEI),Total,ug/kg dw,5.3365,,,=,None,VLC,Com,Sed_Grab,Not Recorded,Bottom,FieldFrozen,1950/01/01,Not Recorded,1950/01/01,1994/07/08,1,,GERG,Not Recorded,A,RMP ,http://cd3.sfei.org/metadata.php,2020/11/27,SFEI,
sediment,AB48E0A8-A6EB-4CCC-BB44-F98C7594A654,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1993 RMP Status and Trends,RMP,AMS-CA,Grizzly Bay (BF21),BF21,Bays and Harbors,38.11551792,-122.0404754,wgs84,1993/03/09,00:00:00,OpenWater1,5,cm,Integrated,"1","1",1993-03-Risebrough-SED,,sediment,Not Recorded,Sum of 40 PCBs (SFEI),Total,ug/kg dw,6.473597,,,=,None,VLC,Com,Sed_Grab,Not Recorded,Bottom,FieldFrozen,1950/01/01,Not Recorded,1950/01/01,1950/01/01,1,,Risebrough,Not Recorded,A,RMP ,http://cd3.sfei.org/metadata.php,2020/11/27,SFEI,
sediment,BB978B01-95AC-4B46-86DE-41B9F259A01D,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1993 RMP Status and Trends,RMP,AMS-CA,Richardson Bay (BC32),BC32,Bays and Harbors,37.862,-122.479,wgs84,1993/03/11,00:00:00,OpenWater1,5,cm,Integrated,"1","1",1993-03-Risebrough-SED,,sediment,Not Recorded,Sum of 40 PCBs (SFEI),Total,ug/kg dw,7.753532,,,=,None,VLC,Com,Sed_Grab,Not Recorded,Bottom,FieldFrozen,1950/01/01,Not Recorded,1950/01/01,1950/01/01,1,,Risebrough,Not Recorded,A,RMP ,http://cd3.sfei.org/metadata.php,2020/11/27,SFEI,
sediment,33562E32-DA7D-4902-A711-259FFC17494B,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1993 RMP Status and Trends,RMP,AMS-CA,Napa River (BD50),BD50,Bays and Harbors,38.097,-122.261,wgs84,1993/03/10,00:00:00,OpenWater1,5,cm,Integrated,"1","1",1993-03-Risebrough-SED,,sediment,Not Recorded,Sum of 40 PCBs (SFEI),Total,ug/kg dw,8.296251,,,=,None,VLC,Com,Sed_Grab,Not Recorded,Bottom,FieldFrozen,1950/01/01,Not Recorded,1950/01/01,1950/01/01,1,,Risebrough,Not Recorded,A,RMP ,http://cd3.sfei.org/metadata.php,2020/11/27,SFEI,
sediment,98C124D0-9914-4F8C-8425-14C7EBCABC8E,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1993 RMP Status and Trends,RMP,AMS-CA,Yerba Buena Island (BC11),BC11,Bays and Harbors,37.82232768,-122.3492815,wgs84,1993/09/22,17:20:00,OpenWater1,5,cm,Integrated,"1","1",1993-09-GERG-SED,,sediment,Not Recorded,Sum of 40 PCBs (SFEI),Total,ug/kg dw,9.42755,,,=,None,VLC,Com,Sed_Grab,Not Recorded,Bottom,FieldFrozen,1950/01/01,Not Recorded,1950/01/01,1994/07/08,1,,GERG,Not Recorded,A,RMP ,http://cd3.sfei.org/metadata.php,2020/11/27,SFEI,
sediment,13AEDCBA-EBCD-45B4-AA8C-CAA1CA9A6583,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1993 RMP Status and Trends,RMP,AMS-CA,Pinole Point (BD31),BD31,Bays and Harbors,38.02412178,-122.363683,wgs84,1993/03/10,00:00:00,OpenWater1,5,cm,Integrated,"1","1",1993-03-Risebrough-SED,,sediment,Not Recorded,Sum of 40 PCBs (SFEI),Total,ug/kg dw,9.611959,,,=,None,VLC,Com,Sed_Grab,Not Recorded,Bottom,FieldFrozen,1950/01/01,Not Recorded,1950/01/01,1950/01/01,1,,Risebrough,Not Recorded,A,RMP ,http://cd3.sfei.org/metadata.php,2020/11/27,SFEI,
sediment,E64C854D-D0CE-4774-A05A-14119F670DB8,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1993 RMP Status and Trends,RMP,AMS-CA,Horseshoe Bay (BC21),BC21,Bays and Harbors,37.831,-122.4775,wgs84,1993/03/11,00:00:00,OpenWater1,5,cm,Integrated,"1","1",1993-03-Risebrough-SED,,sediment,Not Recorded,Sum of 40 PCBs (SFEI),Total,ug/kg dw,10.73368,,,=,None,VLC,Com,Sed_Grab,Not Recorded,Bottom,FieldFrozen,1950/01/01,Not Recorded,1950/01/01,1950/01/01,1,,Risebrough,Not Recorded,A,RMP ,http://cd3.sfei.org/metadata.php,2020/11/27,SFEI,
sediment,E8389281-C390-4B6A-9C9F-5CBE0FD883E6,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1993 RMP Status and Trends,RMP,AMS-CA,Oyster Point (BB30),BB30,Bays and Harbors,37.669,-122.329,wgs84,1993/03/11,00:00:00,OpenWater1,5,cm,Integrated,"1","1",1993-03-Risebrough-SED,,sediment,Not Recorded,Sum of 40 PCBs (SFEI),Total,ug/kg dw,11.561205,,,=,None,VLC,Com,Sed_Grab,Not Recorded,Bottom,FieldFrozen,1950/01/01,Not Recorded,1950/01/01,1950/01/01,1,,Risebrough,Not Recorded,A,RMP ,http://cd3.sfei.org/metadata.php,2020/11/27,SFEI,
sediment,1EFECFBB-92F0-4DA3-831F-9B842054961B,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1993 RMP Status and Trends,RMP,AMS-CA,Dumbarton Bridge (BA30),BA30,Bays and Harbors,37.51375,-122.1346166,wgs84,1993/03/12,00:00:00,OpenWater1,5,cm,Integrated,"1","1",1993-03-Risebrough-SED,,sediment,Not Recorded,Sum of 40 PCBs (SFEI),Total,ug/kg dw,11.895354,,,=,None,VLC,Com,Sed_Grab,Not Recorded,Bottom,FieldFrozen,1950/01/01,Not Recorded,1950/01/01,1950/01/01,1,,Risebrough,Not Recorded,A,RMP ,http://cd3.sfei.org/metadata.php,2020/11/27,SFEI,
sediment,EA2EA812-8EF2-4D29-AF91-76DF09D775AC,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1993 RMP Status and Trends,RMP,AMS-CA,Richardson Bay (BC32),BC32,Bays and Harbors,37.862,-122.479,wgs84,1993/09/22,11:00:00,OpenWater1,5,cm,Integrated,"1","1",1993-09-GERG-SED,,sediment,Not Recorded,Sum of 40 PCBs (SFEI),Total,ug/kg dw,14.28813,,,=,None,VLC,Com,Sed_Grab,Not Recorded,Bottom,FieldFrozen,1950/01/01,Not Recorded,1950/01/01,1994/07/08,1,,GERG,Not Recorded,A,RMP ,http://cd3.sfei.org/metadata.php,2020/11/27,SFEI,
sediment,8CBF561C-4422-4EBE-BAE8-417213869E1C,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1993 RMP Status and Trends,RMP,AMS-CA,Point Isabel (BC41),BC41,Bays and Harbors,37.887,-122.343,wgs84,1993/03/11,00:00:00,OpenWater1,5,cm,Integrated,"1","1",1993-03-Risebrough-SED,,sediment,Not Recorded,Sum of 40 PCBs (SFEI),Total,ug/kg dw,20.412391,,,=,None,VLC,Com,Sed_Grab,Not Recorded,Bottom,FieldFrozen,1950/01/01,Not Recorded,1950/01/01,1950/01/01,1,,Risebrough,Not Recorded,A,RMP ,http://cd3.sfei.org/metadata.php,2020/11/27,SFEI,
sediment,40F36F92-424F-4F69-9FC5-13764238E292,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1993 RMP Status and Trends,RMP,AMS-CA,South Bay (BA21),BA21,Bays and Harbors,37.493,-122.086,wgs84,1993/03/12,00:00:00,OpenWater1,5,cm,Integrated,"1","1",1993-03-Risebrough-SED,,sediment,Not Recorded,Sum of 40 PCBs (SFEI),Total,ug/kg dw,27.507962,,,=,None,VLC,Com,Sed_Grab,Not Recorded,Bottom,FieldFrozen,1950/01/01,Not Recorded,1950/01/01,1950/01/01,1,,Risebrough,Not Recorded,A,RMP ,http://cd3.sfei.org/metadata.php,2020/11/27,SFEI,
sediment,A964AA46-5ACB-45DE-9398-8626EC7F6EE0,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1993 RMP Status and Trends,RMP,AMS-CA,Yerba Buena Island (BC11),BC11,Bays and Harbors,37.82232768,-122.3492815,wgs84,1993/03/11,00:00:00,OpenWater1,5,cm,Integrated,"1","1",1993-03-Risebrough-SED,,sediment,Not Recorded,Sum of 40 PCBs (SFEI),Total,ug/kg dw,33.452727,,,=,None,VLC,Com,Sed_Grab,Not Recorded,Bottom,FieldFrozen,1950/01/01,Not Recorded,1950/01/01,1950/01/01,1,,Risebrough,Not Recorded,A,RMP ,http://cd3.sfei.org/metadata.php,2020/11/27,SFEI,
sediment,4A55C732-F77D-4AF4-AAB7-AA71A59F0F18,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1993 RMP Status and Trends,RMP,AMS-CA,Point Isabel (BC41),BC41,Bays and Harbors,37.887,-122.343,wgs84,1993/09/21,08:50:00,OpenWater1,5,cm,Integrated,"1","1",1993-09-GERG-SED,,sediment,Not Recorded,Sum of 40 PCBs (SFEI),Total,ug/kg dw,39.69629,,,=,None,VLC,Com,Sed_Grab,Not Recorded,Bottom,FieldFrozen,1950/01/01,Not Recorded,1950/01/01,1994/07/08,1,,GERG,Not Recorded,A,RMP ,http://cd3.sfei.org/metadata.php,2020/11/27,SFEI,
sediment,5691E24B-CD22-4FD8-8C39-0103BC38C585,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1993 RMP Status and Trends,RMP,AMS-CA,Redwood Creek (BA41),BA41,Bays and Harbors,37.55903527,-122.210577,wgs84,1993/03/12,00:00:00,OpenWater1,5,cm,Integrated,"1","1",1993-03-Risebrough-SED,,sediment,Not Recorded,Sum of 40 PCBs (SFEI),Total,ug/kg dw,42.90806,,,=,None,VLC,Com,Sed_Grab,Not Recorded,Bottom,FieldFrozen,1950/01/01,Not Recorded,1950/01/01,1950/01/01,1,,Risebrough,Not Recorded,A,RMP ,http://cd3.sfei.org/metadata.php,2020/11/27,SFEI,
sediment,F8B8C98B-05B8-4CCF-B3F3-4F5709338F90,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1994 RMP Status and Trends,RMP,AMS-CA,Davis Point (BD41),BD41,Bays and Harbors,38.051,-122.28,wgs84,1994/08/26,00:00:00,OpenWater1,5,cm,Integrated,"1","2",1994-08-GERG-SED,,sediment,Not Recorded,Sum of 40 PCBs (SFEI),Total,ug/kg dw,0,,,ND,None,VLC,Com,Sed_Grab,Not Recorded,Bottom,FieldFrozen,1950/01/01,Not Recorded,1950/01/01,1994/10/28,1,,GERG,Not Recorded,A,RMP ,http://cd3.sfei.org/metadata.php,2020/11/27,SFEI,
sediment,67D5BA84-6DE3-477B-92A1-D1D6BA4C2E0D,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1994 RMP Status and Trends,RMP,AMS-CA,Red Rock (BC60),BC60,Bays and Harbors,37.918,-122.436,wgs84,1994/08/26,00:00:00,OpenWater1,5,cm,Integrated,"1","1",1994-08-GERG-SED,,sediment,Not Recorded,Sum of 40 PCBs (SFEI),Total,ug/kg dw,0.3255,,,=,None,VLC,Com,Sed_Grab,Not Recorded,Bottom,FieldFrozen,1950/01/01,Not Recorded,1950/01/01,1994/11/09,1,,GERG,Not Recorded,A,RMP ,http://cd3.sfei.org/metadata.php,2020/11/27,SFEI,
sediment,468BD839-F75C-4B99-9C7B-E4C00966F732,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1994 RMP Status and Trends,RMP,AMS-CA,Red Rock (BC60),BC60,Bays and Harbors,37.918,-122.436,wgs84,1994/02/11,00:00:00,OpenWater1,5,cm,Integrated,"1","1",1994-02-GERG-SED,,sediment,Not Recorded,Sum of 40 PCBs (SFEI),Total,ug/kg dw,0.61,,,=,None,VLC,Com,Sed_Grab,Not Recorded,Bottom,FieldFrozen,1950/01/01,Not Recorded,1950/01/01,1994/04/29,1,,GERG,Not Recorded,A,RMP ,http://cd3.sfei.org/metadata.php,2020/11/27,SFEI,
sediment,0D80F4C1-42A7-4436-8B74-3B27842B6AE2,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1994 RMP Status and Trends,RMP,AMS-CA,Davis Point (BD41),BD41,Bays and Harbors,38.051,-122.28,wgs84,1994/08/26,00:00:00,OpenWater1,5,cm,Integrated,"1","3",1994-08-GERG-SED,,sediment,Not Recorded,Sum of 40 PCBs (SFEI),Total,ug/kg dw,0.63492,,,=,None,VLC,Com,Sed_Grab,Not Recorded,Bottom,FieldFrozen,1950/01/01,Not Recorded,1950/01/01,1994/10/28,1,,GERG,Not Recorded,A,RMP ,http://cd3.sfei.org/metadata.php,2020/11/27,SFEI,
sediment,6B59909B-4D36-4617-8450-A1794E9712B7,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1994 RMP Status and Trends,RMP,AMS-CA,Davis Point (BD41),BD41,Bays and Harbors,38.051,-122.28,wgs84,1994/02/11,00:00:00,OpenWater1,5,cm,Integrated,"1","2",1994-02-GERG-SED,,sediment,Not Recorded,Sum of 40 PCBs (SFEI),Total,ug/kg dw,0.76,,,=,None,VLC,Com,Sed_Grab,Not Recorded,Bottom,FieldFrozen,1950/01/01,Not Recorded,1950/01/01,1994/04/29,1,,GERG,Not Recorded,A,RMP ,http://cd3.sfei.org/metadata.php,2020/11/27,SFEI,
sediment,30A0A001-13ED-4B3F-8634-EA4312280AB6,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1994 RMP Status and Trends,RMP,AMS-CA,San Joaquin River (BG30),BG30,Bays and Harbors,38.02054094,-121.806267,wgs84,1994/08/25,00:00:00,OpenWater1,5,cm,Integrated,"1","1",1994-08-GERG-SED,,sediment,Not Recorded,Sum of 40 PCBs (SFEI),Total,ug/kg dw,0.89517,,,=,None,VLC,Com,Sed_Grab,Not Recorded,Bottom,FieldFrozen,1950/01/01,Not Recorded,1950/01/01,1994/11/09,1,,GERG,Not Recorded,A,RMP ,http://cd3.sfei.org/metadata.php,2020/11/27,SFEI,
